K,hops,mode,trace_size,verify_time_us,budget_used
5,2,classic_lp,1,6.041998858563602,0
5,2,classic_lp,1,6.415997631847858,0
5,2,classic_lp,1,6.166999810375273,0
5,2,classic_lp,1,5.750000127591193,0
5,2,classic_lp,1,5.916997906751931,0
5,2,classic_lp,1,6.665999535471201,0
5,2,classic_lp,1,5.792004230897874,0
5,2,classic_lp,1,6.000002031214535,0
5,2,classic_lp,1,7.957998604979366,0
5,2,classic_lp,1,6.082998879719526,0
5,2,classic_lp,1,7.333001121878624,0
5,2,classic_lp,1,6.291003955993801,0
5,2,classic_lp,1,6.374997610691935,0
5,2,classic_lp,1,6.667003617621958,0
5,2,classic_lp,1,7.333001121878624,0
5,2,classic_lp,1,5.833004252053797,0
5,2,classic_lp,1,6.583999493159354,0
5,2,classic_lp,1,5.7919969549402595,0
5,2,classic_lp,1,6.666996341664344,0
5,2,classic_lp,1,7.374997949227691,0
5,2,classic_lp,1,6.708003638777882,0
5,2,classic_lp,1,6.374997610691935,0
5,2,classic_lp,1,6.2920007621869445,0
5,2,classic_lp,1,6.1250029830262065,0
5,2,classic_lp,1,8.791997970547527,0
5,2,classic_lp,1,6.499998562503606,0
5,2,classic_lp,1,6.750000466126949,0
5,2,classic_lp,1,6.249996658880264,0
5,2,classic_lp,1,7.7079967013560236,0
5,2,classic_lp,1,8.124996384140104,0
5,2,classic_lp,1,6.16600300418213,0
5,2,classic_lp,1,6.87500141793862,0
5,2,classic_lp,1,6.082998879719526,0
5,2,classic_lp,1,9.249997674487531,0
5,2,classic_lp,1,6.958005542401224,0
5,2,classic_lp,1,6.333000783342868,0
5,2,classic_lp,1,7.416994776576757,0
5,2,classic_lp,1,6.041998858563602,0
5,2,classic_lp,1,5.832996976096183,0
5,2,classic_lp,1,5.792004230897874,0
5,2,classic_lp,1,6.708003638777882,0
5,2,classic_lp,1,6.249996658880264,0
5,2,classic_lp,1,5.916001100558788,0
5,2,classic_lp,1,5.957997927907854,0
5,2,classic_lp,1,5.709000106435269,0
5,2,classic_lp,1,5.875001079402864,0
5,2,classic_lp,1,5.832996976096183,0
5,2,classic_lp,1,5.709000106435269,0
5,2,classic_lp,1,6.833004590589553,0
5,2,classic_lp,1,6.1250029830262065,0
5,2,classic_lp,1,6.1250029830262065,0
5,2,classic_lp,1,6.583999493159354,0
5,2,classic_lp,1,5.709000106435269,0
5,2,classic_lp,1,8.666000212542713,0
5,2,classic_lp,1,6.709000444971025,0
5,2,classic_lp,1,7.0829992182552814,0
5,2,classic_lp,1,5.707996024284512,0
5,2,classic_lp,1,6.166999810375273,0
5,2,classic_lp,1,5.667003279086202,0
5,2,classic_lp,1,6.624999514315277,0
5,2,classic_lp,1,5.49999822396785,0
5,2,classic_lp,1,5.917005182709545,0
5,2,classic_lp,1,5.791000148747116,0
5,2,classic_lp,1,6.415997631847858,0
5,2,classic_lp,1,6.2920007621869445,0
5,2,classic_lp,1,5.832996976096183,0
5,2,classic_lp,1,6.166999810375273,0
5,2,classic_lp,1,5.750000127591193,0
5,2,classic_lp,1,6.124995707068592,0
5,2,classic_lp,1,6.2920007621869445,0
5,2,classic_lp,1,5.750000127591193,0
5,2,classic_lp,1,5.9589947341009974,0
5,2,classic_lp,1,7.416994776576757,0
5,2,classic_lp,1,7.249996997416019,0
5,2,classic_lp,1,5.83400105824694,0
5,2,classic_lp,1,5.667003279086202,0
5,2,classic_lp,1,5.5829950724728405,0
5,2,classic_lp,1,6.4589985413476825,0
